Pos,[0-10),[10-20),[20-30),[30-40]
1,0.2,0.8,2.6,96.5
2,0.2,0.9,2.6,96.3
3,0.2,0.7,2.3,96.8
4,0.2,0.8,2.3,96.8
5,0.2,0.8,2.3,96.8
6,0.2,0.7,2.3,96.8
7,0.2,0.8,2.4,96.6
8,0.2,0.7,2.3,96.8
9,0.2,0.7,2.3,96.8
10,0.2,0.8,2.4,96.7
11,0.2,0.8,2.4,96.7
12,0.2,0.8,2.3,96.7
13,0.2,0.8,2.4,96.7
14,0.2,0.8,2.3,96.7
15,0.2,0.8,2.3,96.7
16,0.2,0.8,2.4,96.7
17,0.2,0.8,2.3,96.8
18,0.2,0.7,2.3,96.8
19,0.2,0.8,2.3,96.7
20,0.2,0.8,2.3,96.7
21,0.2,0.8,2.3,96.8
22,0.2,0.8,2.4,96.7
23,0.2,0.8,2.4,96.7
24,0.2,0.8,2.4,96.6
25,0.2,0.8,2.4,96.7
26,0.2,0.8,2.4,96.6
27,0.2,0.8,2.4,96.6
28,0.2,0.8,2.4,96.6
29,0.2,0.8,2.4,96.6
30,0.2,0.8,2.4,96.6
31,0.2,0.8,2.4,96.6
32,0.2,0.8,2.4,96.6
33,0.2,0.8,2.4,96.6
34,0.2,0.8,2.4,96.6
35,0.2,0.8,2.4,96.5
36,0.2,0.8,2.5,96.5
37,0.2,0.8,2.4,96.6
38,0.3,1,2.5,96.2
39,0.2,0.8,2.4,96.6
40,0.2,0.8,2.4,96.5
41,0.2,0.8,2.4,96.5
42,0.2,0.9,2.5,96.5
43,0.2,0.9,2.5,96.4
44,0.2,0.9,2.5,96.4
45,0.2,0.9,2.5,96.4
46,0.2,0.9,2.5,96.5
47,0.2,0.9,2.5,96.4
48,0.2,0.9,2.5,96.4
49,0.2,0.9,2.5,96.4
50,0.2,0.9,2.5,96.4
51,0.3,1,2.6,96.2
52,0.2,0.9,2.6,96.3
53,0.2,0.9,2.6,96.3
54,0.2,0.9,2.6,96.2
55,0.2,0.9,2.6,96.3
56,0.2,1,2.6,96.2
57,0.2,0.9,2.6,96.2
58,0.2,0.9,2.6,96.2
59,0.2,0.9,2.6,96.2
60,0.2,1,2.6,96.2
61,0.2,1,2.7,96.1
62,0.2,1,2.7,96.1
63,0.3,1,2.7,96
64,0.3,1,2.7,96
65,0.3,1,2.7,96
66,0.3,1,2.7,96
67,0.3,1.1,2.8,95.8
68,0.3,1,2.8,95.9
69,0.3,1,2.8,95.9
70,0.3,1.1,2.8,95.8
71,0.3,1.1,2.9,95.8
72,0.3,1.1,2.8,95.8
73,0.3,1.1,2.9,95.7
74,0.3,1.1,2.9,95.7
75,0.3,1.2,3,95.6
76,0.3,1.1,2.9,95.6
77,0.3,1.1,2.9,95.6
78,0.3,1.2,3,95.5
79,0.3,1.2,3,95.5
80,0.3,1.2,3,95.5
81,0.3,1.2,3,95.5
82,0.3,1.2,3,95.4
83,0.3,1.2,3.1,95.4
84,0.4,1.3,3.1,95.3
85,0.4,1.2,3.1,95.3
86,0.4,1.3,3.1,95.2
87,0.4,1.3,3.2,95.2
88,0.4,1.3,3.2,95.1
89,0.4,1.3,3.2,95.1
90,0.4,1.3,3.2,95.1
91,0.4,1.3,3.2,95.1
92,0.4,1.4,3.3,95
93,0.4,1.4,3.3,94.9
94,0.4,1.4,3.3,94.9
95,0.4,1.4,3.3,94.9
96,0.4,1.4,3.3,94.9
97,0.4,1.4,3.4,94.8
98,0.4,1.4,3.4,94.8
99,0.4,1.4,3.4,94.7
100,0.4,1.5,3.4,94.7
101,0.5,1.6,3.5,94.5
102,0.5,1.6,3.5,94.4
103,0.5,1.6,3.5,94.4
104,0.5,1.6,3.5,94.4
105,0.5,1.6,3.5,94.4
106,0.5,1.6,3.6,94.3
107,0.5,1.6,3.6,94.3
108,0.5,1.6,3.6,94.3
109,0.2,0.9,3.1,95.8
110,0.1,0.8,3,96.1
111,0.1,0.7,2.7,96.5
112,0.1,0.6,2.7,96.6
113,0.1,0.7,2.8,96.5
114,0.1,0.7,2.8,96.4
115,0.1,0.7,2.9,96.3
116,0.1,0.7,2.7,96.5
117,0.1,0.7,2.8,96.4
118,0.1,0.7,2.9,96.3
119,0.1,0.7,2.9,96.2
120,0.1,0.7,2.9,96.2
121,0.1,0.8,2.9,96.2
122,0.1,0.7,2.9,96.3
123,0.1,0.7,2.9,96.2
124,0.1,0.8,2.9,96.2
125,0.1,0.8,2.9,96.2
126,0.1,0.8,2.9,96.2
127,0.1,0.8,3,96.1
128,0.2,1,3.1,95.7
129,0.1,0.8,3,96.1
130,0.1,0.8,3,96.1
131,0.1,0.8,3,96.1
132,0.1,0.8,3,96.1
133,0.1,0.8,3,96
134,0.1,0.8,3,96
135,0.1,0.8,3,96
136,0.2,0.9,3.1,95.9
137,0.1,0.8,3,96
138,0.1,0.8,3,96
139,0.2,0.9,3.1,95.9
